PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,0,0,-0.77,0.25,-14.35,0,0,0,0
2,0,0,-0.78,-0.48,-13.81,0,0,0,0
3,0,0,-0.78,-0.626214321777617,-13.748260289327,0,0,0,0
4,0,0,-0.78,-0.788307985757581,-13.7148631988326,0,0,0,0
5,0,0,-0.78,-0.960123682917823,-13.7082929508805,0,0,0,0
6,0,0,-0.78,-1.13550410423628,-13.7270337678347,0,0,0,0
7,0,0,-0.78,-1.30829194069088,-13.7695698720588,0,0,0,0
8,0,0,-0.78,-1.47232988325955,-13.8343854859167,0,0,0,0
9,0,0,-0.78,-1.62146062292024,-13.9199648317723,0,0,0,0
10,0,0,-0.78,-1.74952685065087,-14.0247921319893,0,0,0,0
11,0,0,-0.78,-1.85037125742938,-14.1473516089316,0,0,0,0
12,0,0,-0.78,-1.85810481636364,-14.1592378181818,0,0,0,0
13,0,0,-0.78,-2.39306488818182,-14.9814527140909,0,0,0,0
14,0,0,-0.78,-2.49640735267783,-15.1073096665139,0,0,0,0
15,0,0,-0.78,-2.62317537690946,-15.20866409971,0,0,0,0
16,0,0,-0.78,-2.77003312554481,-15.2885591646031,0,0,0,0
17,0,0,-0.78,-2.93088010096779,-15.3457888230061,0,0,0,0
18,0,0,-0.78,-3.09961580556229,-15.3791470367316,0,0,0,0
19,0,0,-0.78,-3.2701397417122,-15.3874277675922,0,0,0,0
20,0,0,-0.78,-3.43635141180141,-15.3694249774005,0,0,0,0
21,0,0,-0.78,-3.59215031821382,-15.3239326279693,0,0,0,0
22,0,0,-0.78,-3.73143596333333,-15.2497446811111,0,0,0,0
23,0,0,-0.78,-3.73143596333333,-15.2497446811111,0,0,0,0
24,0,0,-0.78,-4.53484696666667,-14.6958217522222,0,0,0,0
25,0,0,-0.78,-5.33825797,-14.1418988233333,0,0,0,0
26,0,0,-0.78,-6.14166897333333,-13.5879758944444,0,0,0,0
27,0,0,-0.78,-6.94507997666667,-13.0340529655556,0,0,0,0
28,0,0,-0.78,-7.74849098,-12.4801300366667,0,0,0,0
29,0,0,-0.78,-8.55190198333333,-11.9262071077778,0,0,0,0
30,0,0,-0.78,-9.35531298666667,-11.3722841788889,0,0,0,0
31,0,0,-0.78,-10.15872399,-10.81836125,0,0,0,0
32,0,0,-0.78,-10.9621349933333,-10.2644383211111,0,0,0,0
33,0,0,-0.78,-11.7655459966667,-9.71051539222222,0,0,0,0
34,0,0,-0.78,-12.568957,-9.15659246333333,0,0,0,0
35,0,0,-0.78,-13.3723680033333,-8.60266953444444,0,0,0,0
36,0,0,-0.78,-14.1757790066667,-8.04874660555556,0,0,0,0
37,0,0,-0.78,-14.97919001,-7.49482367666667,0,0,0,0
38,0,0,-0.78,-15.7826010133333,-6.94090074777778,0,0,0,0
39,0,0,-0.78,-16.5860120166667,-6.38697781888889,0,0,0,0
40,0,0,-0.78,-16.9656994174258,-6.11175711290489,0,0,0,0
41,0,0,-0.78,-17.0299824181365,-6.02930928531612,0,0,0,0
42,0,0,-0.78,-17.0822142011319,-5.9337724057384,0,0,0,0
43,0,0,-0.78,-17.1214905341426,-5.82905906459131,0,0,0,0
44,0,0,-0.78,-17.1469071848993,-5.71908185229441,0,0,0,0
45,0,0,-0.78,-17.1575599211327,-5.60775335926725,0,0,0,0
46,0,0,-0.78,-17.1525445105735,-5.49898617592943,0,0,0,0
47,0,0,-0.78,-17.1309567209524,-5.39669289270049,0,0,0,0
